iter	Passed	Remaining
887	56696	581775
888	56759	581703
889	56823	581642
890	56881	581519
891	56937	581380
892	57001	581312
893	57058	581177
894	57121	581102
895	57188	581071
896	57244	580935
897	57311	580898
898	57377	580860
899	57435	580733
900	57508	580766
901	57568	580658
902	57639	580667
903	57698	580563
904	57758	580461
905	57825	580426
906	57890	580373
907	57949	580263
908	58014	580213
909	58080	580168
910	58140	580068
911	58205	580014
912	58268	579937
913	58336	579921
914	58400	579852
915	58458	579738
916	58528	579734
917	58594	579686
918	58651	579554
919	58714	579485
920	58782	579461
921	58842	579361
922	58903	579269
923	58966	579197
924	59025	579085
925	59096	579092
926	59149	578924
927	59214	578872
928	59273	578763
929	59331	578642
930	59391	578544
931	59456	578484
932	59522	578449
933	59582	578343
934	59650	578318
935	59711	578235
936	59775	578167
937	59830	578023
938	59892	577938
939	59964	577958
940	60029	577903
941	60092	577828
942	60156	577768
943	60218	577690
944	60286	577665
945	60352	577623
946	60421	577612
947	60478	577479
948	60533	577335
949	60601	577309
950	60666	577253
951	60727	577162
952	60790	577091
953	60846	576954
954	60913	576926
955	60983	576923
956	61051	576898
957	61106	576749
958	61172	576708
959	61236	576642
960	61298	576560
961	61361	576489
962	61423	576415
963	61484	576318
964	61545	576234
965	61611	576184
966	61667	576052
967	61729	575970
968	61797	575948
969	61863	575907
970	61920	575781
971	61988	575752
972	62050	575677
973	62127	575727
974	62191	575668
975	62253	575587
976	62322	575569
977	62390	575548
978	62455	575493
979	62520	575446
980	62585	575389
981	62650	575336
982	62712	575260
983	62773	575171
984	62833	575072
985	62893	574969
986	62958	574920
987	63024	574877
988	63088	574811
989	63157	574792
990	63222	574739
991	63290	574721
992	63357	574679
993	63423	574636
994	63487	574578
995	63555	574548
996	63630	574584
997	63698	574559
998	63759	574475
999	63820	574388
1000	63887	574345
1001	63955	574322
1002	64013	574205
1003	64074	574115
1004	64144	574110
1005	64213	574091
1006	64272	573986
1007	64334	573902
1008	64397	573830
1009	64461	573773
1010	64524	573697
1011	64589	573647
1012	64662	573667
1013	64730	573638
1014	64795	573586
1015	64859	573519
1016	64916	573401
1017	64978	573319
1018	65041	573249
1019	65104	573171
1020	65165	573085
1021	65226	573000
1022	65297	573000
1023	65364	572962
1024	65437	572972
1025	65498	572887
1026	65563	572831
1027	65627	572772
1028	65692	572714
1029	65758	572677
1030	65812	572521
1031	65870	572411
1032	65930	572314
1033	65995	572259
1034	66064	572238
1035	66133	572220
1036	66201	572190
1037	66259	572082
1038	66322	572006
1039	66393	572009
1040	66451	571893
1041	66520	571872
1042	66591	571868
1043	66646	571733
1044	66720	571749
1045	66785	571696
1046	66860	571729
1047	66926	571688
1048	66984	571573
1049	67047	571500
1050	67114	571464
1051	67174	571367
1052	67236	571285
1053	67306	571276
1054	67376	571267
1055	67434	571153
1056	67495	571065
1057	67560	571009
1058	67622	570923
1059	67691	570903
1060	67756	570851
1061	67818	570772
1062	67875	570653
1063	67932	570529
1064	67994	570451
1065	68055	570364
1066	68129	570385
1067	68198	570360
1068	68265	570324
1069	68326	570240
1070	68389	570170
1071	68450	570081
1072	68507	569960
1073	68571	569893
1074	68632	569807
1075	68695	569740
1076	68752	569614
1077	68810	569507
1078	68866	569380
1079	68921	569242
1080	68994	569250
1081	69060	569202
1082	69123	569136
1083	69189	569091
1084	69263	569107
1085	69340	569150
1086	69407	569119
1087	69475	569082
1088	69538	569017
1089	69605	568979
1090	69665	568881
1091	69725	568789
1092	69784	568685
1093	69846	568606
1094	69910	568544
1095	69976	568492
1096	70038	568418
1097	70103	568359
1098	70180	568401
1099	70247	568362
1100	70309	568289
1101	70375	568237
1102	70434	568134
1103	70504	568126
1104	70568	568060
1105	70627	567955
1106	70691	567897
1107	70759	567864
1108	70827	567836
1109	70886	567731
1110	70956	567716
1111	71018	567637
